2011-10-26,EFL Cup,,H,Chelsea,D,1-1,,
2011-10-29,Premier League,,H,Manchester Utd,L,0-1,,
2011-11-05,Premier League,,A,Newcastle,L,2-1,,
2011-11-19,Premier League,,H,Wolves,W,2-1,,
2011-11-26,Premier League,,A,Bolton,W,0-2,,
2011-12-04,Premier League,,H,Stoke,L,0-1,,
2011-12-10,Premier League,,A,Arsenal,L,1-0,,
2011-12-17,Premier League,,H,Norwich,D,1-1,,
2011-12-21,Premier League,,H,Swansea,W,1-0,,
2011-12-26,Premier League,,A,Sunderland,D,1-1,,
2012-01-01,Premier League,,A,West Brom,W,0-1,,
2012-01-04,Premier League,,H,Bolton,L,1-2,,
2012-01-07,FA Cup,,H,Tamworth,W,2-0,,
2012-01-11,Premier League,,A,Tottenham,L,2-0,,
2012-01-14,Premier League,,A,Aston Villa,D,1-1,,
2012-01-21,Premier League,,H,Blackburn,D,1-1,,
2012-01-27,FA Cup,,H,Fulham,W,2-1,,
2012-01-31,Premier League,,H,Manchester City,W,1-0,,
2012-02-04,Premier League,,A,Wigan,D,1-1,,
2012-02-11,Premier League,,H,Chelsea,W,2-0,,
2012-02-18,FA Cup,,H,Blackpool,W,2-0,,
2012-03-03,Premier League,,A,QPR,D,1-1,,
2012-03-10,Premier League,,H,Tottenham,W,1-0,,
2012-03-13,Premier League,,A,Liverpool,L,3-0,,
2012-03-17,FA Cup,,H,Sunderland,D,1-1,,
2012-03-21,Premier League,,H,Arsenal,L,0-1,,
2012-03-24,Premier League,,A,Swansea,W,0-2,,
2012-03-27,FA Cup,,A,Sunderland,W,0-2,,
2012-03-31,Premier League,,H,West Brom,W,2-0,,
2012-04-07,Premier League,,A,Norwich,D,2-2,,
2012-04-09,Premier League,,H,Sunderland,W,4-0,,
2012-04-14,FA Cup,,N,Liverpool,L,2-1,,
2012-04-22,Premier League,,A,Manchester Utd,D,4-4,,
2012-04-28,Premier League,,H,Fulham,W,4-0,,
2012-05-01,Premier League,,A,Stoke,D,1-1,,
2012-05-06,Premier League,,A,Wolves,D,0-0,,
2012-05-13,Premier League,,H,Newcastle,W,3-1,,
2012-08-20,Premier League,,H,Manchester Utd,W,1-0,,
2012-08-25,Premier League,,A,Aston Villa,W,1-3,,
2012-08-29,EFL Cup,,H,Leyton Orient,W,5-0,,
2012-09-01,Premier League,,A,West Brom,L,2-0,,
2012-09-17,Premier League,,H,Newcastle,D,2-2,,
2012-09-22,Premier League,,A,Swansea,W,0-3,,
2012-09-25,EFL Cup,,A,Leeds,L,2-1,,
2012-09-29,Premier League,,H,Southampton,W,3-1,,
2012-10-06,Premier League,,A,Wigan,D,2-2,,
2012-10-21,Premier League,,A,QPR,D,1-1,,
2012-10-28,Premier League,,H,Liverpool,D,2-2,,
2012-11-03,Premier League,,A,Fulham,D,2-2,,
2012-11-10,Premier League,,H,Sunderland,W,2-1,,
2012-11-17,Premier League,,A,Reading,L,2-1,,
2012-11-24,Premier League,,H,Norwich,D,1-1,,
2012-11-28,Premier League,,H,Arsenal,D,1-1,,
2012-12-01,Premier League,,A,Manchester City,D,1-1,,
2012-12-09,Premier League,,H,Tottenham,W,2-1,,
2012-12-15,Premier League,,A,Stoke,D,1-1,,
2012-12-22,Premier League,,A,West Ham,W,1-2,,
2012-12-26,Premier League,,H,Wigan,W,2-1,,
2012-12-30,Premier League,,H,Chelsea,L,1-2,,
2013-01-02,Premier League,,A,Newcastle,W,1-2,,
2013-01-07,FA Cup,,A,Cheltenham,W,1-5,,
2013-01-12,Premier League,,H,Swansea,D,0-0,,
2013-01-21,Premier League,,A,Southampton,D,0-0,,
2013-01-26,FA Cup,,A,Bolton,W,1-2,,
2013-01-30,Premier League,,H,West Brom,W,2-1,,
2013-02-02,Premier League,,H,Aston Villa,D,3-3,,
2013-02-10,Premier League,,A,Manchester Utd,L,2-0,,
2013-02-16,FA Cup,,A,Oldham,D,2-2,,
2013-02-23,Premier League,,A,Norwich,L,2-1,,
2013-02-26,FA Cup,,H,Oldham,W,3-1,,
2013-03-02,Premier League,,H,Reading,W,3-1,,
2013-03-09,FA Cup,,H,Wigan,L,0-3,,
2013-03-16,Premier League,,H,Manchester City,W,2-0,,
2013-03-30,Premier League,,H,Stoke,W,1-0,,
2013-04-07,Premier League,,A,Tottenham,D,2-2,,
2013-04-13,Premier League,,H,QPR,W,2-0,,
2013-04-16,Premier League,,A,Arsenal,D,0-0,,
2013-04-20,Premier League,,A,Sunderland,L,1-0,,
2013-04-27,Premier League,,H,Fulham,W,1-0,,
2013-05-05,Premier League,,A,Liverpool,D,0-0,,
2013-05-12,Premier League,,H,West Ham,W,2-0,,
2013-05-19,Premier League,,A,Chelsea,L,2-1,,
2013-08-17,Premier League,,A,Norwich,D,2-2,,
2013-08-24,Premier League,,H,West Brom,D,0-0,,
2013-08-28,EFL Cup,,H,Stevenage,D,1-1,,
2013-08-31,Premier League,,A,Cardiff,D,0-0,,
2013-09-14,Premier League,,H,Chelsea,W,1-0,,
2013-09-21,Premier League,,A,West Ham,W,2-3,,
2013-09-24,EFL Cup,,A,Fulham,L,2-1,,
2013-09-30,Premier League,,H,Newcastle,W,3-2,,
2013-10-05,Premier League,,A,Manchester City,L,3-1,,
2013-10-19,Premier League,,H,Hull,W,2-1,,
2013-10-26,Premier League,,A,Aston Villa,W,0-2,,
2013-11-03,Premier League,,H,Tottenham,D,0-0,,
2013-11-09,Premier League,,A,Crystal Palace,D,0-0,,
2013-11-23,Premier League,,H,Liverpool,D,3-3,,
2013-11-30,Premier League,,H,Stoke,W,4-0,,
2013-12-04,Premier League,,A,Manchester Utd,W,0-1,,
2013-12-08,Premier League,,A,Arsenal,D,1-1,,
2013-12-14,Premier League,,H,Fulham,W,4-1,,
2013-12-22,Premier League,,A,Swansea,W,1-2,,
